Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strrength. Weakness,UUID,sha256
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,b691984c7e119d3e0644e76d0022fc52b054705ff466f3b66b26e76cb2a89caa
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,dcd3c5c86d92304a166a87a85bbcf035059bdabbcecb372f4f2ced822c8a5aa9
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,,dfbb4163-df24-4d54-b74c-6218a68df8bd,be71694b440a008b450a89ddc966d7c255882ca5ce27812ad5cea3a65e37d687
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,646658ed9ca597b7575fa2600caee871fc3ae1a615178de14da146659c993c94
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,,59524227-dc52-407c-8cca-e9e8c5fb3018,a523ad4b7c641b42a40f9600c0124c65912c19f84d602f488c681de439ecb376
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,,808f7007-6552-4efa-bd13-4b7c337b102b,cb5f1c0a43bbc8173e484a4c8193a95e89dfeebedd88fa65472bb8fb424cc128
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,,ba3edda7-8940-4ca4-97ba-826398d5909f,31f53cf20793052826dda9d77da7b857e50164ba79efb622721df440500315ec
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,,78da7aeb-8352-4e25-89ac-dc48b5984089,8724b5ac5510f1956a7d945f4f6e30d308c51a7c159c036e82311df64e77ed27
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,,53b46bd7-a537-402b-b249-0b4074a8faae,0068d7bd45dbd45baf9eb185c2679a53fa58a93ab9fb057459f65119461b806d
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,,4adb6781-1614-424e-8f77-fe59ffca2209,33bd1a8c77085fa1ccce04c9fb2dbf2a5c8e23f8d137707575cd1e0de2c5249d
TEAM CLUTCH,,,,,,
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,"hair:none,eyes: black,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:strong  ",770f817a-9d9a-4772-9a91-e66dd9d03470,a9ca3406702b64637fab6b63828188fc4b222686efacac9b6757b948216d4d81
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,"hair:none ,eyes: black, teeth:none, clothings: yellow and black ankara, accessories:cap, expression:straight, strength:funny",78810fa6-a7ef-4d83-bf57-caf49db4ee69,0b0e07cbe0097948a1586721cf921b0646340f53a6d489122759f217717648ad
23,salam-the-odogwu,salam the odogwu,salam is a big time textile marketer always sourcing for quality materials,male,"hair:none, eyes:brown, teeth:none, clothings:wine and yellow, accessories:yayada cap, expression:happy, strength:rich",f2957ded-022c-4b07-92c6-b345d4816a67,a80f101ab1cd80cc06e5b851727e892df024ebd3a4fe0503bd3e0d8b92700c84
24,charles-the-exporter,charles the exporter,charles a business man an importer and exporter never to be caught idle,male,"hair:none,eyes: grey, teeth:none clothings:orange and blue, accessories:okpu ozo, expression:happy, strength:empathetic ",09395e76-19ed-4852-8748-795ee7496a8e,72771e7fde94e30d09facb33aff8af5a9c85c46ad503f767fd9412a565f13e62
25,wole-the-pimp,wole the pimp,wole knows all the babes in town and is always pimping them out,male,"hair:none, eyes:black, teeth:none, clothings:yellow dashiki, accessories:yori yori, expression:happy, strength:strong",4d94d4f7-9b69-4e43-9db1-1fe83df92857,f81946992e03a2b63c25431d59555c1dc5c670026af1863970973742dc675ef9
26,saro-the-baller,saro the baller,saro is a baller and is always ready to turnup,male,"hair:none, eyes: blue, teeth:none, clothings:black and yellow dashiki, accessories:none, expression:angry, strength:strong",d35a7514-8996-42fb-a5f2-5a603ec679c5,5642e4b73e0542f0ba17490be9407863cb7d173d56a9b836df65606194c6bd7b
27,ade-omo-yoruba,ade omo yoruba,ade a yourba man takes pride in the yourba tribe,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",92984fa0-310b-4377-8a10-15965d044383,d36b4b3dfdb6165f1d36d537e20b0eb23be0d00da9febb86a86adf147a624cf7
28,shola-cool-kid, shola cool kid,shola prefers to be alone because he hates stress,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",3ac5c186-bc14-4eb6-8567-cc818465a64f,92d22f50481671d6b5f63dbe350ce9fa7bf7c705dd72db4829f4297cc5d9b8aa
29,charlie-the-smoker,charlie the smoker,charlie uses smoking as a coping mechanism,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",71a0aa22-d111-43b7-8484-43d87310bc42,3d6ddfab440575585a2cd4940ca99cf3965cff49038983a9e306efb6e2f286dc
30,femi-the-badguy,femi the badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",e493e3fb-a8a0-455a-854f-0f6474bbc69f,6e632b93179584c48dcb09ca601a10293954c5035b7388e81054192e6fb909cd
31,sinzu-money,sinzu money,sinzu loves spending money on flashy things,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",942f8347-9932-4331-bd15-d0f3a048b54f,eabfc759ab3a9eee60bce6dc983bb41b193b6eb47f4cd1c8571b2de7737004c7
32,obinna-the-palmwine tapper,obinna the palmwine tapper,obinna taps palmwine for a living,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",0f1af056-2548-4407-bed4-abc11deae05d,ef2ab685afd3e5415bc54f07259c5a100703b9dfb874f4a58d4d87e6c0cd53ef
33,aminu-maikudi,aminu maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",0129e7a5-e3d0-4675-92d0-1a1e55d11612,e031457cfedbb8077a0c8a18f90c06b2a06cbc9328b52105c372986dff7d6653
34,sabinus-the-town crier,sabinus the town crier,sabinus delivers messages to his town people,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",01d4ce96-818e-44b1-8813-68a7d34b35ba,18d4afea1016e023dfc9eb9ad7b52f7bd34804c6f649ac0dd3f3f2dd4b81153f
35,adisa-ibadan,adisa ibadan,"adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",3a925f27-35f6-4dbf-9960-c6527fae5f3e,a88f0fcc800175a6af386a1a17483f8e66ba85627a0981f6f64663890c689aa7
36,linda-the-navigator,linda the navigator,linda knows how to make a way for herself and people around her,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",71f335a6-5a4f-4410-9cea-179336f0e498,e886d2c4fb6a6de599c7ed146f395af09494df0cf0b844a132700e25e6d61157
37,kemi-the-iron lady,kemi the iron lady,kemi the strongest woman known to the town of  igbede people,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",35b11a31-5b92-49f4-8fb1-30f255d22054,ac0ae0ebd2cc70e09fd8af0e4efc6f96fcec62089ab5b404ed42ab9cc76ea2e7
38,mercy-the-sassy lady,mercy the sassy lady,mercy only care about spending her father's money and treats people like trash,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,6c4046520e4f415a34f90efcf0c2aacda4d946450000dad7705d9f3ddecad113
39,sandra-money,sandra money,sandra likes getting and spending money,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, strength:activist weakness:controlling ",1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,5c5ff7c0f96bde61c7b523e5e87970139731f9a85377f2c26a7b38518a639722
40,bimpe-the-fashionista,bimpe the fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",92b548b7-998b-46b6-8198-80d407209483,579c97255063461d3bac7ef0d40cb69eb325a99f275c1700fd19aa559bfaf08f
TEAM ENGINE,,,,,,
41,kim-rich-aunty,kim rich aunty,she loves spoiling her nieces and nephew,Female,"hair:brown,strength:hardworker,weakness:men,clothing :black and white,accessories:chain,expression:smilling",3344a73c-f15e-4afd-a1b2-3199e27eb08f,16d64a40a62ff845ffdddf076d9558dbb2c2e28455a2c2f756b5703e0b1a14a7
42,barbra-vampire-bc,barbra vampire bc,she loves drinking the blood of her victims,Female,"hair:maroon,strength:empathetic,weakness:sleep,clothing :polka dots,accessories:earings,expression:sad",4f31fd99-4918-42a9-a112-fa60ef36d5c6,50177135d67136d62e9ac0e3baa215b741108662690cb5b664f0955fd394d19f
43,jean-art-dolger,jean art dolger,loves collecting art for charity ,Female,"hair:maroon,strength:strong,weakness:spiders",5e1105d9-e485-462d-a5bf-1eb931976b13,87575a01bdccb3ac1a0632902f1a797c53bde2ccb1750fe185e713e69f4c22a1
44,flora-burger- eater,flora burger eater,she loves eating burgers,Female,"hair: red wig,strength:brave,weakness:coackroaches",054dffd1-cdff-417b-b6c2-a679dabd087b,f57c43ecbb537022400e6be9b0c5e2ba674fc92914a9d6280a5728d5633c48ac
45,jessie-lord-rings,jessie lord rings,she seeks her 'precious',Female,"hair:ombre hairdo,strength:team player,weakness:love",caacabe1-0abc-43af-92e2-2231248bff93,24391335f023e2bba74b06ed5e736f1b21a6616674db07d94df0fb65c04ed329
46,pinky-monky-ponk,pinky monky ponk,she love to dance the honky tonk,Female,"hair: black,strength:strong,weakness:cars",bd6a4b38-543e-40fa-9153-f7e1a947ebb1,5fd76cbd76b518b2ab50e35267ccb56e613b66be9e6e2e2104f84a01fe3b6c17
47,wanjiru-hippie-glitter,wanjiru hippie glitter,a hippie that loves her glitters,Female,"hair: burgury updo,strength:strong,weakness:alcohol",683f0d27-3cb4-4948-b1b5-09f10bee575a,15bbce525ace3bd1cbea0414a828a3ca6e589a66489dd56df33204816548f558
48,njoki-binary-coder,njoki binary coder,she codes with the best and tops the set,Female,"hair:tight cornrows,strength:good listener,weakness:water",9b59bdb4-0c6c-4107-9d72-6d38d308edb4,9fa96b83c6621006fc49ddf5948f2af667e686b6f2902c0dd0a35bc7de83056e
49,wangu-calaba-hustler,wangu calaba hustler,she's a mean hustler so be careful,Female,"hair:ginger red,strength:tender,weakness:being agreeable",67f7da93-3925-4def-b660-58f558c14a19,463ebd606fb06efdaf171e07649c01958f67644362db33487ed1031c40997353
50,lulu-dey-kpako,lulu dey kpako,she's as skinny as she is beautiful,Female,"hair:black,strength:brave,weakness:junk food",23b6c38f-ab84-4565-bfe9-d9eb019c9f29,3ebdf4de5c572e9d366ce9fc0d1f4a561774be85bbba4d0715be45f058bf871a
51,kiki-cala-flier,kiki cala flier,she flies first class and gets the best deals,Female,"hair:white,strength:strong,weakness:spiders",d24aefff-c9fc-4ea9-a7cf-1b741076c822,94c9ccafaf89a8a3facd49b70880537b21c17bd169dafa95e8ed0eb1afc45c10
52,purity-nft -investor,purity nft investor,she is an angel investor looking for the next big thing,Female,"hair:pink braids,strength:strong,weakness:gossip",ee86ef77-4793-411a-88d3-ea54d84f6b24,e2c543bedf86c20c8283a524ce09c1fbf3bbd6b4b170ce9b143352b44ff95ddb
53,june-binary-monk,june binary monk,she has a twin thats from Tibet ,Female,"hair:maroon,strength:goal oriented,weakness:spicy food",102c4cdb-f812-44fd-bf47-5065284c6075,e4f784ea771d3fe8389c9903deb96cbb1950f36d48c9b1ceddac89751a1513e8
54,aisha-crows-damsel,aisha crows damsel,she is always a damsel in distress,Female,"hair:brown,strength:protective,weakness:clusterphobic",c4071af3-b49e-4ad6-898b-7828f90465fb,9d07229c0f8f78d45c0edc9362383595b22f40d8ce0e09660a1833bd37d8cb4c
55,bobo-crypto-lovely,bobo crypto lovely,she is a crpto guru you can trust all through,Female,"hair:bald,strength:kindness,weakness:workerholic",427ea0f5-30a3-4d70-a5bd-a6106409b83c,9d164281bd79bba6c88c79967980127ee3ada83440651c779dfe7f593cb5baae
56,nell-light -embrace,nell light embrace,she is an empath; ready with a kind word or hug,Female,"hair:yellow cornrows,strength:supportive,weakness:controlling",9dfe30b4-c71a-471c-8091-f5c4a238eed8,2a92b9c18788cade2aba2a0411ac6292e94becf6a80d878c054a15463f8a7042
57,rachel-mood-silent,rachel mood silent,"introvert  to the core, a mysterious lady",Female,"hair:maroon,strength:strong,weakness:height",11450acd-f0d7-406f-bc18-bdb680404845,3d80a61dfafd3d96f75a6e2a378987cbeea09067dd5223b0dcd05d449526d102
58,nana-reflector-agent,nana reflector agent,she loves her chrome fashion stye,Female,"hair:blonde ties with a bow,strength: giving,weakness:money",63bda633-bfca-4b28-823f-7772936b4103,a4ae130c6c393dde30315681619976460a1dfac2cfe0b7fa8b22ca9331a5dd81
59,bree-busy-gossip,bree busy gossip,"never wisper your secrets to her, except you want the world to know",Female,"hair:black,strength:level headed,weakness:shy around new people",4f5898d9-fc99-4053-a56c-b2ec1ef41347,077c5bca75d0f973afc673bcbaf65ded86c8d0fa12f4f448067ca03db68219b1
60,jude-shadow-fighter,jude shadow fighter,"a ninja warrior, the last samurai standing",Female,"hair:maroon,strength:strong,weakness:spiders",a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,ae71fc27e9ca1a9667d305b1d0168b654b58931a988422e6fe50b7be9373d1fa
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM GRIT,,,,,,
61,toy-soldier,toy soldier,a man stronger than an army,male,"hair: bald, strengths: powerful, weakness: sentimental",fc8ea3ac-59d1-11ed-9b6a-0242ac120002,83eb06d4fd251a13d6f933a61747898880c415a29cd1abc6333cfd5ae1353943
62,pipey-rivers,pipey rivers,a man who loves the water so much and fixes its path,male,"hair:bald, strengths: calculative, weakness: public speaking",58f69cae-59d1-11ed-9b6a-0242ac120002,ad0ed074955ff2f557efad6f6d3c9a89ae1524192f8f3ddcd32d94a1b6fabf88
63,phiri-of-zambia,phiri of zambia,an african woman with strength and beauty,female,"hair: two purple bun, strengths: free spirit weakness: blind ",24b537fa-59d3-11ed-9b6a-0242ac120002,064d9b1fa5bca51ad49df76568e4abab3e6ec33410c520edf16268aa56897168
64,patrick-of-bikinibottom,patrick of bikinibottom,a white man who loves the African culture and associates with their dressing,male,"hair: bald, strengths: adaptation, weakness: fluency",064c7b84-59d3-11ed-9b6a-0242ac120002,2142b13097e622ff4ec628c5f1f11a72b5b23c4806849cf0078347cea0eeb885
65,nobuhle-of-zulu,nobuhle of zulu,a woman well endowed with beauty,female,"hair: brown bun, strengths: cool headed, weakness: pressure",1ee5b1ce-59d3-11ed-9b6a-0242ac120002,9a60196c87a1acea0759a9e4ec5ef90635e61e82162e8022383aba774494926a
66,nkosazana-of-xhosa,nkosazana of xhosa,an african princess always proud of her culture,female,"hair: ginger afro, strengths: confidence, weakness: endurance",2f1a1724-59d3-11ed-9b6a-0242ac120002,f8b63a68d089b1ffffd49b92335baf88265c6aebd272fac50cbf77d29a2fcdab
67,mandla-of-zulu,mandla of zulu,a simple and an introvert who keeps to himself,male,"hair: bald, strength: strong willed, weakness: relationship",d04553b2-59d7-11ed-9b6a-0242ac120002,8d8ae7121129c80658e8016f9eb88213484057c1c6b2bb80187e3e868717d036
68,john-doe,john doe,a principled guy who is conscious of his health and ensures protection from infection,male,"hair: bald, strength: cleaniness, weakness: perfectionist",5d19795e-59d2-11ed-9b6a-0242ac120002,02d589467b34ef036a20a9c5391eac5c12381e7723e4afe286b82577ed9d1b4d
69,ghost-of-power,ghost of power,a woman stronger than ten men combined,female,"hair: black tied with scalf, strength: badass weakness: cancer",29c764ca-59d3-11ed-9b6a-0242ac120002,097c2e9d493d0cd2f243070b9ee0ee98446bc8d10c22ead0443b9a4061b5e31a
70,freida,freida,a man who is always peaceful,male,"hair: bald, strength: peaceful weakness: anger",ee671c4a-59d2-11ed-9b6a-0242ac120002,7deec19357bd46eef73984ecd1612be97b3e37800094ce7351b7eb7f22d2b1e6
71,flamboyant-tree,flamboyant tree,beautiful african woman,female,"hair: one bun dark brown, strength: beauty, weakness: lover girl",380e4990-59d3-11ed-9b6a-0242ac120002,5beac62b4ad2d0a5170586661ff5329ac58396a3d2159f7cc9883e4f7f9ff0ca
72,david-of-accra,david of accra,a combatant who fights and defends his people,male,"hair: bald, strength: super powerful, weakness: sleeping",1c1ef1b4-59d1-11ed-9b6a-0242ac120002,466ffce0755e1568e464c6578931519dcbcd988593e0f2d81ee7734377867c08
73,cally-lily,cally lily,a man who is a breath of fresh air,male,"hair: male, strength: calm weakness: sun",82bba87c-59d1-11ed-9b6a-0242ac120002,aa7d5ddc0cbd5a7910775b2cb9239a96b435f43b3a0b8db94c3d74541e133eb4
74,bubune-of-accra,bubune of accra,"a man with honor, always conscious of his health",male,"hair: bald, strength: clean weakness: foodie",faa4b530-59d2-11ed-9b6a-0242ac120002,e260abb083db03de09b14bab60121aba52948a43b68d74e198217b05af738b2d
75,bediako-of-accra,bediako of accra,a strong man always ready to fight for what is right,male,"hair: bald, strength: activist, weakness: irrational",fb6e8222-59d0-11ed-9b6a-0242ac120002,fa08cc9b23c5e428b1436e744b93ca74ddf3b9a2203f21368761b56384c47b66
76,avatar-aang,avatar aang,a man who is ready to save the world,male,"hair: bald, strength: mind games, weakness: insomia",169f93a0-59d2-11ed-9b6a-0242ac120002,801b447a2763a1860282b335dea3b5463bab8012fda1461822fb828de0f09421
77,argus-greek,argus greek,a man who you will always find on the look out ,male,"hair: bald, strength: strong , weakness: lateness",e7f26b26-59d2-11ed-9b6a-0242ac120002,03658967707bb692a004c32cd7a020034f993f73689b3e4f483239e3e551cbd6
78,amahle-of-zulu,amahle of zulu,"A traditional man, feeling fulfilled",male,"hair: bald, strength: conversationist, weakness: traditionalist",169f93a0-59d2-11ed-9b6a-0242ac120002,cad026085580b86853bc557dd7daf6728fc1cbd861534df59b7f6bfb8e288602
79,agnar-ole,agnar ole,a man who feels like an outcast and always has a battle with his mind,male,"hair: bald, strength: strong willed, weakness: crying",f3f11fd0-59d2-11ed-9b6a-0242ac120002,2e7f944254620fe97b524f36298706ff416941c0057fcf68ac3488f80a09f6dd
80,adom-kulu,adom kulu,"a Ghanaian model, proud of his culture",male,"hair: bald, strength: height,  weakness: pride",00f6589e-59d3-11ed-9b6a-0242ac120002,cae16c3f35b8ed19f8ab2a119b92d243ddc06a6751418ebde34e6251252057f0
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM PRYBAR,,,,,,
81,segun-baller,segun baller,a man who loves to party hard,,,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,e30ed2b957ce889bbc1d2bf3ebe6010c786dde552eb1deefbf373881be22c780
82,bolanle-pepper-dem,bolanle pepper dem,a money spender,,,46966104-775b-4443-90bb-b35afd121653,2785f21aec109b848db6af1c0674b4bf6ba563e29750bbbb56d29328093b5d84
83,tayo-tailor,tayo tailor,"a professional fashion designer, in quote",,,70828783-ac38-48cf-b966-cfebc92ebd86,21e4f0729fcb64e058d390a10852f5ae643905be25be5127d7b623365d4c8f83
84,ajasco-comedian,ajasco comedian,he thinks he's funny but he's not,,,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,b7baa01c9e237e403681f9455e4d961a702f19a5377f25a39dda27e58d57c2bb
85,tobi-babyboy,tobi babyboy,he's currently in his babyboy era,,,3da592d4-5dec-4bc5-8412-f1b2a0269f95,ca454e0aabbc10359499ea5c54a6b5cb29c23ff74296c98ff51537334ccacc5c
86,esther-sassy,esther sassy,her motto is everybody must collect,,,0642a25a-966d-446f-b021-a6d18e7fa0c5,eacb2a1fc4115760bad0acbd10b87f412203bca0d54e92b2cc21a152984aa24f
87,ozo-fineboi,ozo fineboi,he's currently in his babyboy era,,,fdb0a5b6-7367-48bb-bd6b-720ec8c15226,ee690675922b1dbe4b9e64635f64de5fdb2d218e20374bd1ea2715adba091444
88,ade-party-girl,ade party girl,the life of every party,,,7e3db30c-9faf-430d-ab48-b854fe0456b9,b03a57d5fedf58dc33fcb92b3e328a8d1059bca102dfe66d203f40e026946e1f
89,john-casco,john casco,silent killer,,,2eff88ef-5bc2-4779-917a-533e952e2953,ec8ca7b8fa2e4a5ce45bf801118235dcaf5d9ed9029de08b6eb17b165379d5bb
90,agha-uwa,agha uwa,"senior man, may back flips",,,8478a002-1eba-4a05-8b98-7170c6e39254,2ae7210fb67313fed54bc01be0d00a0103e82600dbf3bac56b0e33d6615bac6e
91,udeme-great,udeme great,an alcoholic,,,d1476409-6f8b-4be9-8c93-24d9123749c5,e9a9fe3753861fae7ade61959a64d01a8386b1553e796fb7b41619a9b50f132b
92,femi-tech-bro,femi tech bro,"broke tech bro actually, no money",,,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,38f44cbc7a19d1c566bf8cbad3b35fb8f5a75e8ba9769e0cfdaae930f5954352
93,sai-baba,sai baba,bts leader of 3rd world,,,fdfff369-5b57-4612-9f89-f5d408f24a35,85a2d9c6b644e5b86cb0e968837de3c5ed600722512100b1076b2a5392d97f3b
94,omo-pastor,omo pastor,a woman with the morals of a man,,,49e09559-61a6-41ff-811a-272721a7475c,2560d3cc5cf4233773ec9942bddb593b5a38964e25133616dc09d801857a4bca
95,obi-container,obi container,a rich man from the east,,,4b64cf48-94fa-4aed-8cf2-452974b48ee3,fd5aaa5ab42acf8ea948c85e3c169e4c8b72f88fc684707c95733c582afc5dad
96,erigga-international,erigga international,Super star from south-south,,,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,424c373d01fff398bbfc953bf1bd8d51a478033e6666d3997d19129480430f63
97,ayo-web3-bro,ayo web3 bro,no actual knowledge of basic computer principles,,,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,82d484af4d55ffe662a3f456ce33f78391085c4306cca41b453f399f7ee609e6
98,phoebe-queen-bee,phoebe queen bee,"a self-centered woman, only thinks about herself",,,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,c3a03681b41fa53e9e1733ad9d4e8d360b3b639ee4c0cce73c9abf99246b420a
99,rachel-warri-babe,rachel warri babe,a woman who doesn't take nonsense,,,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,bbf8a5cc0f0949a22cfb585cc5682937c82d6ce393cee10f82155ef6b29dc15a
100,adun-preacher,adun preacher,a woman who preaches in buses,,,cc4dfedf-c343-48db-ad67-e39452ec2380,05964b2fba22d302d7c5800a65e3c38c006868a099b990b1d09823aa87e4a04e
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM CHISEL,,,,,,
101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth,female,"hair: brown, strength: bold, weakness: big teeths,",fbf43611-f267-4cba-bf4b-a3ffdc122589,56adf4ec0b49b8f7d491c6a18bc432da4ddcc0ef93ca445801d185f03944a536
102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party,female,"hair: black hair covered partly with scarf, strength: sawag, weakness: jealousy",e7c32b06-7022-49b4-bbe5-81e8c1d58583,667aecc3d824c9c167a75a33d02d6d2b16a60ee192311cb26df43eb73e1ac5fc
103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family,male,"hair: bald, strength: strong man, weakness: women",e57d8985-599e-49da-8d62-fc16b7ac93f2,1fc91640490ef3935e6f6b4d92301c95b74a78c49542e29cbca974e9aa63d337
104,farida-the-tivlady,farida the tivlady,Farada is a traditional TIv woman,female,"hair: brown packed hair, strength: outspoken, weakness: over makeup",31d3e229-003e-43c8-ba82-38f49cf58ccb,976a68b0eb26fe3a0897bfa708527481f2aefa0a8f3e1261a4fc85abc6c394d7
105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir,female,"hair: milk hair weavon, strength: sings beautifully, weakness: does not know how to cook",281f5bd7-5282-458b-9811-e369980e7dee,36e19aa99299c03a44244106f95947f619aa8916d3bd5a1a2f0987412b10ccb1
